Membership No  Date Joined  Active  
   67923      2017-6-13    no    
   15842      2020-9-24    no    
   48275      2018-3-5     no    
   12093      2016-7-10    no    
   67230      2017-8-5     no    
   98712      2015-11-23   no    
   43672      2016-5-18    no    
   59234      2015-6-12    no    
   23847      2016-11-9    no    
   17654      2017-3-3     no    
   47381      2020-5-10    no    
   59382      2019-1-28    no    
   12093      2016-7-10    no    
   67230      2017-8-5     no    
   98712      2015-11-23   no    
   43672      2016-5-18    no    
   59234      2015-6-12    no    
   23847      2016-11-9    no    
   17654      2017-3-3     no    
   47381      2020-5-10    no    
   59382      2019-1-28    no    
