Membership No  Date Joined  Active  
   87432      2018-4-19    yes   
   12093      2016-7-10    no    
   53145      2019-12-2    yes   
   67230      2017-8-5     no    
   34567      2020-3-14    yes   
   98712      2015-11-23   no    
   56489      2018-7-30    yes   
   43672      2016-5-18    no    
   28563      2017-9-2     yes   
   14352      2019-2-8     yes   
   59234      2015-6-12    no    
   69345      2020-4-20    yes   
   23847      2016-11-9    no    
   38472      2019-12-7    yes   
   17654      2017-3-3     no    
   91823      2018-8-15    yes   
   47381      2020-5-10    no    
   63824      2016-10-22   yes   
   75029      2015-7-6     yes   
   59382      2019-1-28    no    
